Title,Description,Priority,Labels,Estimate,Status
"Verify Claude Sonnet 4.5 Integration","Confirm PAM is using Claude Sonnet 4.5 as primary AI brain with proper fallback.

Test Steps:
1. Send message to PAM: 'What can you help me with?'
2. Check backend logs for: '✅ Using ClaudeAIService (Claude Sonnet 4.5)'
3. Monitor response quality and latency
4. Test fallback by temporarily breaking Claude API key
5. Verify OpenAI fallback activates

Acceptance Criteria:
- Claude Sonnet 4.5 is primary AI
- Response quality is high
- Latency under 5 seconds
- Fallback to OpenAI works if Claude fails
- Error handling is graceful

Related Docs: PAM_STATUS_OCTOBER_2025.md
Commits: bab4aec4","High","testing,pam,ai,claude","30m","Todo"

"Auto-Learning Fuel Consumption from Fill-Ups","Automatically calculate and update vehicle fuel consumption based on actual fill-up data from fuel_log table.

Algorithm:
When user logs a fill-up with full tank:
1. Get last full-tank fill-up for same vehicle
2. Calculate: miles_driven = current_mileage - last_mileage
3. Calculate: mpg = miles_driven / gallons_filled
4. If sample_size >= 5:
   - Calculate rolling average MPG
   - Update vehicles.fuel_consumption_mpg
   - Update vehicles.fuel_consumption_source = 'calculated_from_fillups'
   - Update vehicles.fuel_consumption_sample_size++
   - Notify user: 'I've updated your vehicle's fuel consumption to X MPG based on your last 5 fill-ups'

Database Dependencies:
- fuel_log table with mpg_calculated field
- vehicles table with fuel consumption fields (✅ done)

Acceptance Criteria:
- Auto-calculates MPG from fuel logs
- Requires minimum 5 full-tank fill-ups
- Updates vehicles table automatically
- Notifies user of auto-update
- More accurate than user-provided data
- Overrides user-provided after 5 samples

Related Tables: fuel_log, vehicles","Medium","enhancement,pam,trip-tools,ai,future","4h","Backlog"

"Temperature Unit Conversion (Celsius/Fahrenheit)","Extend unit conversion system to support temperature in weather-related PAM tools.

Implementation:
- Add to unit_conversion.py:
  - convert_fahrenheit_to_celsius(f: float) -> float
  - convert_celsius_to_fahrenheit(c: float) -> float
  - format_temperature(fahrenheit: float, unit_system: UnitSystem) -> str

Affected Tools:
- get_weather_forecast - Return temps in user's preference
- plan_trip - Weather along route in correct units

Example:
Imperial: 'Weather in Denver: 72°F, sunny'
Metric: 'Weather in Denver: 22°C, sunny'","Medium","enhancement,pam,trip-tools,weather","2h","Backlog"

"Speed Unit Conversion (MPH/km/h)","Support MPH and km/h in route planning and ETA calculations.

Implementation:
- Add to unit_conversion.py:
  - convert_mph_to_kmh(mph: float) -> float
  - convert_kmh_to_mph(kmh: float) -> float
  - format_speed(mph: float, unit_system: UnitSystem) -> str

Affected Tools:
- estimate_travel_time - Show speed limits in correct units
- optimize_route - Display average speed

Example:
Imperial: 'Average speed: 65 MPH'
Metric: 'Average speed: 105 km/h'","Medium","enhancement,pam,trip-tools","2h","Backlog"

"Auto-Detect Unit Preference from Location","Automatically set user's unit preference on first use based on browser locale and IP geolocation.

Detection Logic:
1. Check if already set - if yes, return
2. Detect from browser locale (en-US = imperial, en-GB = metric, etc.)
3. Detect from IP geolocation (US = imperial, other = metric)
4. Default to imperial

User Experience:
- On first PAM interaction, show: 'I've detected you're in [Country], so I'll use [metric/imperial] units. You can change this in Settings.'
- Store preference in user_settings
- User can override in Settings

Acceptance Criteria:
- Auto-detects on first use
- Browser locale detection works
- IP geolocation fallback works
- Shows confirmation message
- User can override
- Stores preference permanently

Dependencies: IP geolocation service (e.g., ipapi.co)","Medium","enhancement,pam,ux,auto-detection","3h","Backlog"

"Admin Role Verification for Knowledge System","Add proper admin role verification to prevent unauthorized users from adding knowledge.

Current Issue:
- add_knowledge.py line 133 has TODO comment
- Any authenticated user can currently add knowledge (security risk)

Implementation:
In add_knowledge.py, replace TODO with:
- Import user_has_admin_role from app.services.auth
- Check if user has admin role
- Return error if not admin

Acceptance Criteria:
- Only admins can call add_knowledge tool
- Non-admins receive clear error message
- Role check integrates with existing auth system
- Security event logged for unauthorized attempts

Related Files: backend/app/services/pam/tools/admin/add_knowledge.py","Medium","security,pam,admin,backend","2h","Backlog"

"Create Admin UI for Knowledge Management","Build admin dashboard for managing PAM's knowledge base.

Features Required:
- Browse all stored knowledge (paginated)
- Search knowledge by title, content, tags
- Edit existing knowledge entries
- Delete knowledge entries
- View usage statistics per knowledge item
- Filter by category, verification status
- Bulk operations (delete, update category)

UI Location: Admin Dashboard → PAM Knowledge section

Components to Build:
- Knowledge list table with sorting/filtering
- Knowledge editor modal
- Usage analytics charts
- Bulk action toolbar

Acceptance Criteria:
- Admins can view all knowledge entries
- Search and filter work correctly
- Edit/delete operations succeed
- Usage stats displayed accurately
- Mobile responsive
- Loading states and error handling","Medium","frontend,admin,pam,dashboard","8h","Backlog"

"Knowledge Versioning System","Track changes to knowledge entries over time with full version history.

Features:
- Version numbering for each knowledge entry
- Track who changed what and when
- Ability to revert to previous versions
- Compare versions side-by-side
- Audit trail for compliance","Low","future,pam,admin,enhancement","6h","Backlog"

"Semantic Search with Embeddings","Upgrade knowledge search from keyword matching to semantic similarity using embeddings.

Benefits:
- Find knowledge by meaning, not just keywords
- Better context understanding
- Improved recall of relevant information

Tech Stack:
- OpenAI embeddings API
- Vector database (pgvector in Postgres)
- Similarity search with cosine distance","Low","future,pam,ai,enhancement","12h","Backlog"

"Auto-Suggest Knowledge Based on Conversations","Automatically suggest new knowledge entries based on repeated user questions.

Algorithm:
1. Detect repeated question patterns
2. If PAM answers same question 5+ times
3. Suggest to admin: 'Users frequently ask about X. Should I remember this?'
4. Admin approves/edits/rejects
5. Knowledge automatically added","Low","future,pam,ai,enhancement","8h","Backlog"

"Knowledge Quality Scoring","Implement scoring system to identify most valuable knowledge entries.

Metrics:
- Usage frequency
- User satisfaction (thumbs up/down)
- Recency of last use
- Admin verification status","Low","future,pam,analytics,enhancement","4h","Backlog"

"API Integration Testing Suite","Create comprehensive integration tests for external APIs used by PAM tools.

APIs to Test:
- OpenMeteo Weather API
- Mapbox Routing API
- GasBuddy API (when integrated)
- Google Places API (when integrated)

Test Coverage:
- API availability/health checks
- Response format validation
- Error handling (rate limits, timeouts)
- Fallback behavior when APIs fail
- Mock data quality vs real data

Acceptance Criteria:
- All external APIs tested
- Error scenarios covered
- Fallback mechanisms verified
- Response time SLAs met
- Integration tests run in CI/CD","High","testing,backend,api,integration","6h","Todo"

"Performance Monitoring Dashboard","Build real-time monitoring dashboard for PAM system health and performance.

Metrics to Track:
- Response times (p50, p95, p99)
- Tool execution success/failure rates
- Claude API latency and costs
- Database query performance
- WebSocket connection health
- Error rates by tool/category
- User engagement (messages per day)

Features:
- Real-time graphs and charts
- Alerting for anomalies
- Historical data analysis
- Cost tracking and projections

Tech Stack:
- Grafana or similar dashboard
- Prometheus for metrics collection
- AlertManager for notifications

Acceptance Criteria:
- All key metrics visible
- Alerts configured for critical issues
- Historical data retained (30 days)
- Mobile-responsive dashboard
- Role-based access control","High","monitoring,pam,devops,dashboard","12h","Todo"
